Team,dist,Division
Charlotte,6954,Division 1
Miami,6954,Division 1
Orlando,6954,Division 1
Washington,6954,Division 1
Cleveland,6954,Division 1
Los Angeles Lakers,4764,Division 2
Sacramento,4764,Division 2
San Francisco,4764,Division 2
Portland,4764,Division 2
Los Angeles Clippers,4764,Division 2
Phoenix,8192,Division 3
Utah,8192,Division 3
Denver,8192,Division 3
San Antonio,8192,Division 3
Oklahoma City,8192,Division 3
Toronto,2981,Division 4
Boston,2981,Division 4
Philadelphia,2981,Division 4
Brooklyn,2981,Division 4
New York,2981,Division 4
Houston,4936,Division 5
Dallas,4936,Division 5
New Orleans,4936,Division 5
Atlanta,4936,Division 5
Memphis,4936,Division 5
Chicago,5012,Division 6
Minnesota,5012,Division 6
Detroit,5012,Division 6
Indiana,5012,Division 6
Milwaukee,5012,Division 6
